Date,ltp,Adj Close
28-Oct-2024,27.87,27.8
25-Oct-2024,27.75,27.65
24-Oct-2024,27.9,27.91
23-Oct-2024,28.03,27.99
22-Oct-2024,28.1,28.01
21-Oct-2024,28.45,28.43
18-Oct-2024,28.58,28.54
17-Oct-2024,28.65,28.49
16-Oct-2024,28.79,28.78
15-Oct-2024,29.09,28.89
14-Oct-2024,28.91,28.94
11-Oct-2024,28.87,28.81
10-Oct-2024,28.83,28.81
09-Oct-2024,28.87,28.89
08-Oct-2024,28.8,28.75
07-Oct-2024,28.78,28.53
04-Oct-2024,29.12,29.13
03-Oct-2024,29.5,29.27
01-Oct-2024,29.7,29.72
30-Sep-2024,29.98,29.73
27-Sep-2024,30.13,30.12
26-Sep-2024,30.11,30.04
25-Sep-2024,29.95,29.84
24-Sep-2024,29.85,29.87
23-Sep-2024,29.78,29.83
20-Sep-2024,29.7,29.55
19-Sep-2024,29.25,29.16
18-Sep-2024,29.21,29.1
17-Sep-2024,29.35,29.24
16-Sep-2024,29.3,29.24
13-Sep-2024,29.25,29.2
12-Sep-2024,29.13,29.14
11-Sep-2024,28.85,28.72
10-Sep-2024,28.81,28.82
09-Sep-2024,28.74,28.72
06-Sep-2024,28.74,28.68
05-Sep-2024,29.06,29
04-Sep-2024,29.05,29.04
03-Sep-2024,29.11,29.11
02-Sep-2024,29.2,29.11
30-Aug-2024,29.1,29.05
29-Aug-2024,28.96,28.9
28-Aug-2024,28.89,28.82
27-Aug-2024,28.86,28.82
26-Aug-2024,28.85,28.79
23-Aug-2024,28.63,28.59
22-Aug-2024,28.62,28.55
21-Aug-2024,28.58,28.53
20-Aug-2024,28.5,28.48
19-Aug-2024,28.4,28.33
16-Aug-2024,28.2,28.15
14-Aug-2024,27.81,27.71
13-Aug-2024,27.88,27.78
12-Aug-2024,28.15,28.02
09-Aug-2024,28.72,28.26
08-Aug-2024,28.3,27.88
07-Aug-2024,28.1,27.96
06-Aug-2024,27.64,27.54
05-Aug-2024,28.13,27.82
02-Aug-2024,28.59,28.45
01-Aug-2024,28.65,28.68
31-Jul-2024,28.71,28.69
30-Jul-2024,28.63,28.52
29-Jul-2024,28.6,28.54
26-Jul-2024,28.45,28.47
25-Jul-2024,27.94,28.01
24-Jul-2024,28.26,27.99
23-Jul-2024,28.15,28.02
22-Jul-2024,28.09,28.05
19-Jul-2024,28.09,28.11
18-Jul-2024,28.33,28.36
16-Jul-2024,28.3,28.28
15-Jul-2024,28.26,28.29
12-Jul-2024,28.09,28.2
11-Jul-2024,28.15,28.03
10-Jul-2024,28.09,28.01
09-Jul-2024,28.11,28.07
08-Jul-2024,27.97,27.93
05-Jul-2024,27.96,28.02
04-Jul-2024,27.95,27.93
03-Jul-2024,27.87,27.9
02-Jul-2024,27.6,27.73
01-Jul-2024,27.66,27.69
28-Jun-2024,27.73,27.61
27-Jun-2024,27.52,27.71
26-Jun-2024,27.33,27.35
25-Jun-2024,27.2,27.28
24-Jun-2024,26.73,26.98
21-Jun-2024,27.05,27.06
20-Jun-2024,27.2,27.18
19-Jun-2024,27.12,27.07
18-Jun-2024,27.2,27.15
14-Jun-2024,27.06,26.92
13-Jun-2024,27,26.9
12-Jun-2024,26.76,26.83
11-Jun-2024,26.79,26.72
10-Jun-2024,26.72,26.72
07-Jun-2024,26.66,26.66
06-Jun-2024,26.16,26.19
05-Jun-2024,26.69,26.07
04-Jun-2024,26.99,27.9
03-Jun-2024,26.75,26.73
31-May-2024,26,25.87
30-May-2024,25.76,25.85
29-May-2024,26.11,26.08
28-May-2024,26.24,26.26
27-May-2024,26.44,26.39
24-May-2024,26.41,26.41
23-May-2024,26.35,26.3
22-May-2024,25.95,25.96
21-May-2024,25.9,25.9
18-May-2024,25.86,25.83
17-May-2024,25.8,25.72
16-May-2024,25.58,25.57
15-May-2024,25.4,25.39
14-May-2024,25.4,25.4
13-May-2024,25.29,25.24
10-May-2024,26,25.32
09-May-2024,254.44,250.67
08-May-2024,253.83,254.44
07-May-2024,254.1,254
06-May-2024,255,255.67
03-May-2024,257.9,257.05
02-May-2024,260.73,259.76
30-Apr-2024,259.46,257.66
29-Apr-2024,256.62,256.97
26-Apr-2024,256,255.51
25-Apr-2024,255.6,256.23
24-Apr-2024,255.29,254.81
23-Apr-2024,254.5,254.21
22-Apr-2024,253.02,253.21
19-Apr-2024,250.99,250.65
18-Apr-2024,250,249.99
16-Apr-2024,251.4,251.36
15-Apr-2024,252.71,252.56
12-Apr-2024,256.1,255.77
10-Apr-2024,258.22,258.16
09-Apr-2024,257,256.7
08-Apr-2024,257.14,256.96
05-Apr-2024,255.5,255.66
04-Apr-2024,254.56,254.61
03-Apr-2024,254.49,254.33
02-Apr-2024,254.65,254.52
01-Apr-2024,253,253.86
28-Mar-2024,250.95,251.52
27-Mar-2024,250.25,250.31
26-Mar-2024,248.95,248.76
22-Mar-2024,249.15,249.03
21-Mar-2024,248.33,247.53
20-Mar-2024,245.6,245.42
19-Mar-2024,245.13,244.99
18-Mar-2024,248.6,248
15-Mar-2024,248.01,247.7
14-Mar-2024,247.76,247.95
