Stock(tickertape),Weightage(%),ySymbol,Symbol,Company Name,sector
360 One Wam Ltd,0.11,360ONE,360ONE.NS,360 One Wam Limited,NBFC
3M India Ltd,0.05,3MINDIA,3MINDIA.NS,3M India Limited,IT
Aarti Industries Ltd,0.06,AARTIIND,AARTIIND.NS,Aarti Industries Limited,Agri & Chem
Aavas Financiers Ltd,0.05,AAVAS,AAVAS.NS,Aavas Financiers Limited,NBFC
ABB India Ltd,0.21,ABB,ABB.NS,ABB India Limited,Industrials
Abbott India Ltd,0.08,ABBOTINDIA,ABBOTINDIA.NS,Abbott India Limited,Healthcare
ACC Ltd,0.1,ACC,ACC.NS,ACC Limited,Build Mate
Action Construction Equipment Ltd,0.03,ACE,ACE.NS,Action Construction Equipment Limited,Industrials
Adani Enterprises Ltd,0.36,ADANIENT,ADANIENT.NS,Adani Enterprises Limited,Others
Adani Green Energy Ltd,0.32,ADANIGREEN,ADANIGREEN.NS,Adani Green Energy Limited,Utilities
ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD,0.63,ADANIPORTS,ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited,Industrials
Adani Power Ltd,0.38,ADANIPOWER,ADANIPOWER.NS,Adani Power Limited,Utilities
Adani Total Gas Ltd,0.09,ATGL,ATGL.NS,Adani Total Gas Limited,Oil & gas
Adani Wilmar Ltd,0.03,AWL,AWL.NS,Adani Wilmar Limited,Staples
Aditya Birla Capital Ltd,0.07,ABCAPITAL,ABCAPITAL.NS,Aditya Birla Capital Limited,NBFC
Aditya Birla Fashion and Retail Ltd,0.07,ABFRL,ABFRL.NS,Aditya Birla Fashion and Retail Limited,Discretionary
Aether Industries Ltd,0.01,AETHER,AETHER.NS,Aether Industries Limited,Agri & Chem
Affle (India) Ltd,0.05,AFFLE,AFFLE.NS,Affle (India) Limited,IT
AIA Engineering Ltd,0.07,AIAENG,AIAENG.NS,AIA Engineering Limited,Auto & Anc
Ajanta Pharma Ltd,0.07,AJANTPHARM,AJANTPHARM.NS,Ajanta Pharma Limited,Healthcare
Alembic Pharmaceuticals Ltd,0.04,APLLTD,APLLTD.NS,Alembic Pharmaceuticals Limited,Healthcare
Alkem Laboratories Ltd,0.12,ALKEM,ALKEM.NS,Alkem Laboratories Limited,Healthcare
Alkyl Amines Chemicals Ltd,0.02,ALKYLAMINE,ALKYLAMINE.NS,Alkyl Amines Chemicals Limited,Agri & Chem
